id,n,log2(n),log3(n),log4(n)
464,464,8.86,5.59,4.43
465,465,8.86,5.59,4.43
466,466,8.86,5.59,4.43
467,467,8.87,5.59,4.43
468,468,8.87,5.60,4.44
469,469,8.87,5.60,4.44
470,470,8.88,5.60,4.44
471,471,8.88,5.60,4.44
472,472,8.88,5.60,4.44
473,473,8.89,5.61,4.44
474,474,8.89,5.61,4.44
475,475,8.89,5.61,4.45
476,476,8.89,5.61,4.45
477,477,8.90,5.61,4.45
478,478,8.90,5.62,4.45
479,479,8.90,5.62,4.45
480,480,8.91,5.62,4.45
481,481,8.91,5.62,4.45
482,482,8.91,5.62,4.46
483,483,8.92,5.63,4.46
484,484,8.92,5.63,4.46
485,485,8.92,5.63,4.46
486,486,8.92,5.63,4.46
487,487,8.93,5.63,4.46
488,488,8.93,5.63,4.47
489,489,8.93,5.64,4.47
490,490,8.94,5.64,4.47
491,491,8.94,5.64,4.47
492,492,8.94,5.64,4.47
493,493,8.95,5.64,4.47
494,494,8.95,5.65,4.47
495,495,8.95,5.65,4.48
496,496,8.95,5.65,4.48
497,497,8.96,5.65,4.48
498,498,8.96,5.65,4.48
499,499,8.96,5.65,4.48
500,500,8.97,5.66,4.48
501,501,8.97,5.66,4.48
502,502,8.97,5.66,4.49
503,503,8.97,5.66,4.49
504,504,8.98,5.66,4.49
505,505,8.98,5.67,4.49
506,506,8.98,5.67,4.49
507,507,8.99,5.67,4.49
508,508,8.99,5.67,4.49
509,509,8.99,5.67,4.50
510,510,8.99,5.67,4.50
511,511,9.00,5.68,4.50
512,512,9.00,5.68,4.50
513,513,9.00,5.68,4.50
514,514,9.01,5.68,4.50
515,515,9.01,5.68,4.50
516,516,9.01,5.69,4.51
517,517,9.01,5.69,4.51
518,518,9.02,5.69,4.51
519,519,9.02,5.69,4.51
520,520,9.02,5.69,4.51
521,521,9.03,5.69,4.51
522,522,9.03,5.70,4.51
523,523,9.03,5.70,4.52
524,524,9.03,5.70,4.52
525,525,9.04,5.70,4.52
526,526,9.04,5.70,4.52
527,527,9.04,5.70,4.52
528,528,9.04,5.71,4.52
529,529,9.05,5.71,4.52
530,530,9.05,5.71,4.52
531,531,9.05,5.71,4.53
532,532,9.06,5.71,4.53
533,533,9.06,5.71,4.53
534,534,9.06,5.72,4.53
535,535,9.06,5.72,4.53
536,536,9.07,5.72,4.53
537,537,9.07,5.72,4.53
538,538,9.07,5.72,4.54
539,539,9.07,5.73,4.54
540,540,9.08,5.73,4.54
541,541,9.08,5.73,4.54
542,542,9.08,5.73,4.54
543,543,9.08,5.73,4.54
544,544,9.09,5.73,4.54
545,545,9.09,5.74,4.55
546,546,9.09,5.74,4.55
547,547,9.10,5.74,4.55
548,548,9.10,5.74,4.55
549,549,9.10,5.74,4.55
550,550,9.10,5.74,4.55
551,551,9.11,5.75,4.55
552,552,9.11,5.75,4.55
553,553,9.11,5.75,4.56
554,554,9.11,5.75,4.56
555,555,9.12,5.75,4.56
556,556,9.12,5.75,4.56
557,557,9.12,5.76,4.56
558,558,9.12,5.76,4.56
559,559,9.13,5.76,4.56
560,560,9.13,5.76,4.56
561,561,9.13,5.76,4.57
562,562,9.13,5.76,4.57
563,563,9.14,5.76,4.57
564,564,9.14,5.77,4.57
565,565,9.14,5.77,4.57
566,566,9.14,5.77,4.57
567,567,9.15,5.77,4.57
568,568,9.15,5.77,4.57
569,569,9.15,5.77,4.58
570,570,9.15,5.78,4.58
571,571,9.16,5.78,4.58
572,572,9.16,5.78,4.58
573,573,9.16,5.78,4.58
574,574,9.16,5.78,4.58
575,575,9.17,5.78,4.58
576,576,9.17,5.79,4.58
577,577,9.17,5.79,4.59
578,578,9.17,5.79,4.59
579,579,9.18,5.79,4.59
580,580,9.18,5.79,4.59
581,581,9.18,5.79,4.59
582,582,9.18,5.80,4.59
583,583,9.19,5.80,4.59
584,584,9.19,5.80,4.59
585,585,9.19,5.80,4.60
586,586,9.19,5.80,4.60
587,587,9.20,5.80,4.60
588,588,9.20,5.80,4.60
589,589,9.20,5.81,4.60
590,590,9.20,5.81,4.60
591,591,9.21,5.81,4.60
592,592,9.21,5.81,4.60
593,593,9.21,5.81,4.61
594,594,9.21,5.81,4.61
595,595,9.22,5.82,4.61
596,596,9.22,5.82,4.61
597,597,9.22,5.82,4.61
598,598,9.22,5.82,4.61
599,599,9.23,5.82,4.61
600,600,9.23,5.82,4.61
601,601,9.23,5.82,4.62
602,602,9.23,5.83,4.62
603,603,9.24,5.83,4.62
604,604,9.24,5.83,4.62
605,605,9.24,5.83,4.62
606,606,9.24,5.83,4.62
607,607,9.25,5.83,4.62
608,608,9.25,5.83,4.62
609,609,9.25,5.84,4.63
610,610,9.25,5.84,4.63
611,611,9.26,5.84,4.63
612,612,9.26,5.84,4.63
613,613,9.26,5.84,4.63
614,614,9.26,5.84,4.63
615,615,9.26,5.85,4.63
616,616,9.27,5.85,4.63
617,617,9.27,5.85,4.63
618,618,9.27,5.85,4.64
619,619,9.27,5.85,4.64
620,620,9.28,5.85,4.64
621,621,9.28,5.85,4.64
622,622,9.28,5.86,4.64
623,623,9.28,5.86,4.64
624,624,9.29,5.86,4.64
625,625,9.29,5.86,4.64
626,626,9.29,5.86,4.65
627,627,9.29,5.86,4.65
628,628,9.29,5.86,4.65
629,629,9.30,5.87,4.65
630,630,9.30,5.87,4.65
631,631,9.30,5.87,4.65
632,632,9.30,5.87,4.65
633,633,9.31,5.87,4.65
634,634,9.31,5.87,4.65
635,635,9.31,5.87,4.66
636,636,9.31,5.88,4.66
637,637,9.32,5.88,4.66
638,638,9.32,5.88,4.66
639,639,9.32,5.88,4.66
640,640,9.32,5.88,4.66
641,641,9.32,5.88,4.66
642,642,9.33,5.88,4.66
643,643,9.33,5.89,4.66
644,644,9.33,5.89,4.67
645,645,9.33,5.89,4.67
646,646,9.34,5.89,4.67
647,647,9.34,5.89,4.67
648,648,9.34,5.89,4.67
649,649,9.34,5.89,4.67
650,650,9.34,5.90,4.67
651,651,9.35,5.90,4.67
652,652,9.35,5.90,4.67
653,653,9.35,5.90,4.68
654,654,9.35,5.90,4.68
655,655,9.36,5.90,4.68
656,656,9.36,5.90,4.68
657,657,9.36,5.91,4.68
658,658,9.36,5.91,4.68
659,659,9.36,5.91,4.68
660,660,9.37,5.91,4.68
661,661,9.37,5.91,4.68
662,662,9.37,5.91,4.69
663,663,9.37,5.91,4.69
664,664,9.38,5.91,4.69
665,665,9.38,5.92,4.69
666,666,9.38,5.92,4.69
667,667,9.38,5.92,4.69
668,668,9.38,5.92,4.69
669,669,9.39,5.92,4.69
670,670,9.39,5.92,4.69
671,671,9.39,5.92,4.70
672,672,9.39,5.93,4.70
673,673,9.39,5.93,4.70
674,674,9.40,5.93,4.70
675,675,9.40,5.93,4.70
676,676,9.40,5.93,4.70
677,677,9.40,5.93,4.70
678,678,9.41,5.93,4.70
679,679,9.41,5.94,4.70
680,680,9.41,5.94,4.70
681,681,9.41,5.94,4.71
682,682,9.41,5.94,4.71
683,683,9.42,5.94,4.71
684,684,9.42,5.94,4.71
685,685,9.42,5.94,4.71
686,686,9.42,5.94,4.71
687,687,9.42,5.95,4.71
688,688,9.43,5.95,4.71
689,689,9.43,5.95,4.71
690,690,9.43,5.95,4.72
691,691,9.43,5.95,4.72
692,692,9.43,5.95,4.72
693,693,9.44,5.95,4.72
694,694,9.44,5.96,4.72
695,695,9.44,5.96,4.72
696,696,9.44,5.96,4.72
697,697,9.45,5.96,4.72
698,698,9.45,5.96,4.72
699,699,9.45,5.96,4.72
700,700,9.45,5.96,4.73
701,701,9.45,5.96,4.73
702,702,9.46,5.97,4.73
703,703,9.46,5.97,4.73
704,704,9.46,5.97,4.73
705,705,9.46,5.97,4.73
706,706,9.46,5.97,4.73
707,707,9.47,5.97,4.73
708,708,9.47,5.97,4.73
709,709,9.47,5.97,4.73
710,710,9.47,5.98,4.74
711,711,9.47,5.98,4.74
712,712,9.48,5.98,4.74
713,713,9.48,5.98,4.74
714,714,9.48,5.98,4.74
715,715,9.48,5.98,4.74
716,716,9.48,5.98,4.74
717,717,9.49,5.98,4.74
718,718,9.49,5.99,4.74
719,719,9.49,5.99,4.74
720,720,9.49,5.99,4.75
721,721,9.49,5.99,4.75
722,722,9.50,5.99,4.75
723,723,9.50,5.99,4.75
724,724,9.50,5.99,4.75
725,725,9.50,5.99,4.75
726,726,9.50,6.00,4.75
727,727,9.51,6.00,4.75
728,728,9.51,6.00,4.75
729,729,9.51,6.00,4.75
730,730,9.51,6.00,4.76
731,731,9.51,6.00,4.76
732,732,9.52,6.00,4.76
733,733,9.52,6.00,4.76
734,734,9.52,6.01,4.76
735,735,9.52,6.01,4.76
736,736,9.52,6.01,4.76
737,737,9.53,6.01,4.76
738,738,9.53,6.01,4.76
739,739,9.53,6.01,4.76
740,740,9.53,6.01,4.77
741,741,9.53,6.01,4.77
742,742,9.54,6.02,4.77
743,743,9.54,6.02,4.77
744,744,9.54,6.02,4.77
745,745,9.54,6.02,4.77
746,746,9.54,6.02,4.77
747,747,9.54,6.02,4.77
748,748,9.55,6.02,4.77
749,749,9.55,6.02,4.77
750,750,9.55,6.03,4.78
751,751,9.55,6.03,4.78
752,752,9.55,6.03,4.78
753,753,9.56,6.03,4.78
754,754,9.56,6.03,4.78
