id,n,L
973,973,16.87
974,974,16.88
975,975,16.88
976,976,16.88
977,977,16.88
978,978,16.89
979,979,16.89
980,980,16.89
981,981,16.89
982,982,16.90
983,983,16.90
984,984,16.90
985,985,16.90
986,986,16.91
987,987,16.91
988,988,16.91
989,989,16.91
990,990,16.92
991,991,16.92
992,992,16.92
993,993,16.92
994,994,16.93
995,995,16.93
996,996,16.93
997,997,16.93
998,998,16.94
999,999,16.94
1000,1000,16.94
1001,1001,16.94
1002,1002,16.95
1003,1003,16.95
1004,1004,16.95
1005,1005,16.95
1006,1006,16.96
1007,1007,16.96
1008,1008,16.96
1009,1009,16.96
1010,1010,16.97
1011,1011,16.97
1012,1012,16.97
1013,1013,16.97
1014,1014,16.98
1015,1015,16.98
1016,1016,16.98
1017,1017,16.98
1018,1018,16.99
1019,1019,16.99
1020,1020,16.99
1021,1021,16.99
1022,1022,17.00
1023,1023,17.00
1024,1024,17.00
1025,1025,17.00
1026,1026,17.00
1027,1027,17.01
1028,1028,17.01
1029,1029,17.01
1030,1030,17.01
1031,1031,17.02
1032,1032,17.02
1033,1033,17.02
1034,1034,17.02
1035,1035,17.03
1036,1036,17.03
1037,1037,17.03
1038,1038,17.03
1039,1039,17.04
1040,1040,17.04
1041,1041,17.04
1042,1042,17.04
1043,1043,17.05
1044,1044,17.05
1045,1045,17.05
1046,1046,17.05
1047,1047,17.05
1048,1048,17.06
1049,1049,17.06
1050,1050,17.06
1051,1051,17.06
1052,1052,17.07
1053,1053,17.07
1054,1054,17.07
1055,1055,17.07
1056,1056,17.08
1057,1057,17.08
1058,1058,17.08
1059,1059,17.08
1060,1060,17.08
1061,1061,17.09
1062,1062,17.09
1063,1063,17.09
1064,1064,17.09
1065,1065,17.10
1066,1066,17.10
1067,1067,17.10
1068,1068,17.10
1069,1069,17.11
1070,1070,17.11
1071,1071,17.11
1072,1072,17.11
1073,1073,17.11
1074,1074,17.12
1075,1075,17.12
1076,1076,17.12
1077,1077,17.12
1078,1078,17.13
1079,1079,17.13
1080,1080,17.13
1081,1081,17.13
1082,1082,17.14
1083,1083,17.14
1084,1084,17.14
1085,1085,17.14
1086,1086,17.14
1087,1087,17.15
1088,1088,17.15
1089,1089,17.15
1090,1090,17.15
1091,1091,17.16
1092,1092,17.16
1093,1093,17.16
1094,1094,17.16
1095,1095,17.16
1096,1096,17.17
1097,1097,17.17
1098,1098,17.17
1099,1099,17.17
1100,1100,17.18
1101,1101,17.18
1102,1102,17.18
1103,1103,17.18
1104,1104,17.18
1105,1105,17.19
1106,1106,17.19
1107,1107,17.19
1108,1108,17.19
1109,1109,17.20
1110,1110,17.20
1111,1111,17.20
1112,1112,17.20
1113,1113,17.20
1114,1114,17.21
1115,1115,17.21
1116,1116,17.21
1117,1117,17.21
1118,1118,17.22
1119,1119,17.22
1120,1120,17.22
1121,1121,17.22
1122,1122,17.22
1123,1123,17.23
1124,1124,17.23
1125,1125,17.23
1126,1126,17.23
1127,1127,17.24
1128,1128,17.24
1129,1129,17.24
1130,1130,17.24
1131,1131,17.24
1132,1132,17.25
1133,1133,17.25
1134,1134,17.25
1135,1135,17.25
1136,1136,17.25
1137,1137,17.26
1138,1138,17.26
1139,1139,17.26
1140,1140,17.26
1141,1141,17.27
1142,1142,17.27
1143,1143,17.27
1144,1144,17.27
1145,1145,17.27
1146,1146,17.28
1147,1147,17.28
1148,1148,17.28
1149,1149,17.28
1150,1150,17.28
1151,1151,17.29
1152,1152,17.29
1153,1153,17.29
1154,1154,17.29
1155,1155,17.30
1156,1156,17.30
1157,1157,17.30
1158,1158,17.30
